time,posX,velX,accelX,posY,velY,accelY,posZ,velZ,accelZ,someValue
1.25000000,919.92900885,-74.57307931,0,-53.48642689,-23.21326867,0,387.50000000,70.00000000,0,0
1.26000000,919.18274744,-74.67893982,0,-53.71684572,-22.87041644,0,388.20000000,70.00000000,0,0
1.27000000,918.43543531,-74.78322406,0,-53.94383361,-22.52708147,0,388.90000000,70.00000000,0,0
1.28000000,917.68708822,-74.88592983,0,-54.16738576,-22.18327103,0,389.60000000,70.00000000,0,0
1.29000000,916.93772198,-74.98705497,0,-54.38749747,-21.83899236,0,390.30000000,70.00000000,0,0
1.30000000,916.18735240,-75.08659734,0,-54.60416407,-21.49425272,0,391.00000000,70.00000000,0,0
1.31000000,915.43599532,-75.18455484,0,-54.81738101,-21.14905940,0,391.70000000,70.00000000,0,0
1.32000000,914.68366659,-75.28092540,0,-55.02714377,-20.80341969,0,392.40000000,70.00000000,0,0
1.33000000,913.93038211,-75.37570699,0,-55.23344794,-20.45734087,0,393.10000000,70.00000000,0,0
1.34000000,913.17615776,-75.46889761,0,-55.43628915,-20.11083025,0,393.80000000,70.00000000,0,0
1.35000000,912.42100947,-75.56049529,0,-55.63566313,-19.76389515,0,394.50000000,70.00000000,0,0
1.36000000,911.66495317,-75.65049810,0,-55.83156566,-19.41654289,0,395.20000000,70.00000000,0,0
1.37000000,910.90800483,-75.73890413,0,-56.02399262,-19.06878080,0,395.90000000,70.00000000,0,0
1.38000000,910.15018041,-75.82571153,0,-56.21293994,-18.72061622,0,396.60000000,70.00000000,0,0
1.39000000,909.39149593,-75.91091845,0,-56.39840363,-18.37205650,0,397.30000000,70.00000000,0,0
1.40000000,908.63196739,-75.99452311,0,-56.58037978,-18.02310899,0,398.00000000,70.00000000,0,0
1.41000000,907.87161081,-76.07652373,0,-56.75886454,-17.67378107,0,398.70000000,70.00000000,0,0
1.42000000,907.11044226,-76.15691859,0,-56.93385415,-17.32408011,0,399.40000000,70.00000000,0,0
1.43000000,906.34847780,-76.23570598,0,-57.10534492,-16.97401348,0,400.10000000,70.00000000,0,0
1.44000000,905.58573351,-76.31288425,0,-57.27333323,-16.62358857,0,400.80000000,70.00000000,0,0
1.45000000,904.82222549,-76.38845177,0,-57.43781553,-16.27281279,0,401.50000000,70.00000000,0,0
1.46000000,904.05796985,-76.46240694,0,-57.59878834,-15.92169354,0,402.20000000,70.00000000,0,0
1.47000000,903.29298273,-76.53474820,0,-57.75624828,-15.57023822,0,402.90000000,70.00000000,0,0
1.48000000,902.52728027,-76.60547402,0,-57.91019201,-15.21845425,0,403.60000000,70.00000000,0,0
1.49000000,901.76087864,-76.67458292,0,-58.06061629,-14.86634907,0,404.30000000,70.00000000,0,0
1.50000000,900.99379400,-76.74207342,0,-58.20751795,-14.51393010,0,405.00000000,70.00000000,0,0
1.51000000,900.22604257,-76.80794411,0,-58.35089387,-14.16120478,0,405.70000000,70.00000000,0,0
1.52000000,899.45764053,-76.87219360,0,-58.49074104,-13.80818056,0,406.40000000,70.00000000,0,0
1.53000000,898.68860410,-76.93482054,0,-58.62705651,-13.45486488,0,407.10000000,70.00000000,0,0
1.54000000,897.91894953,-76.99582359,0,-58.75983740,-13.10126521,0,407.80000000,70.00000000,0,0
1.55000000,897.14869305,-77.05520147,0,-58.88908089,-12.74738901,0,408.50000000,70.00000000,0,0
1.56000000,896.37785092,-77.11295293,0,-59.01478428,-12.39324375,0,409.20000000,70.00000000,0,0
1.57000000,895.60643942,-77.16907675,0,-59.13694490,-12.03883690,0,409.90000000,70.00000000,0,0
1.58000000,894.83447482,-77.22357174,0,-59.25556017,-11.68417594,0,410.60000000,70.00000000,0,0
1.59000000,894.06197341,-77.27643676,0,-59.37062759,-11.32926836,0,411.30000000,70.00000000,0,0
1.60000000,893.28895152,-77.32767069,0,-59.48214474,-10.97412166,0,412.00000000,70.00000000,0,0
1.61000000,892.51542544,-77.37727244,0,-59.59010925,-10.61874332,0,412.70000000,70.00000000,0,0
1.62000000,891.74141151,-77.42524097,0,-59.69451886,-10.26314084,0,413.40000000,70.00000000,0,0
1.63000000,890.96692607,-77.47157528,0,-59.79537135,-9.90732174,0,414.10000000,70.00000000,0,0
1.64000000,890.19198546,-77.51627437,0,-59.89266460,-9.55129353,0,414.80000000,70.00000000,0,0
1.65000000,889.41660604,-77.55933731,0,-59.98639655,-9.19506371,0,415.50000000,70.00000000,0,0
1.66000000,888.64080417,-77.60076318,0,-60.07656522,-8.83863981,0,416.20000000,70.00000000,0,0
1.67000000,887.86459623,-77.64055112,0,-60.16316872,-8.48202936,0,416.90000000,70.00000000,0,0
1.68000000,887.08799861,-77.67870028,0,-60.24620521,-8.12523987,0,417.60000000,70.00000000,0,0
1.69000000,886.31102769,-77.71520986,0,-60.32567295,-7.76827887,0,418.30000000,70.00000000,0,0
1.70000000,885.53369988,-77.75007908,0,-60.40157025,-7.41115392,0,419.00000000,70.00000000,0,0
